Station,Parameter_Id,X(m),Y(m),Elevation (m),Total Depth (m),pH,Temp,EC,TDS,Na,K,Ca,Mg ,F,CL,HCO3,NO3,SO4
Gelchet,BR-BH1,360826,505258,1118,185,7.95,,1236,860,150,12.5,104.9,7.82,1.72,103.6,180.6,16.7,346.8
Goray,BR-BH2,339581,463165,811,232,7.5,36.6,1990,1250,325,5.7,81.44,1.08,7.8,155.5,29.3,3.36,550
Gobso,BR-BH3,371540,501553,1150,172.25,7.95,30.1,1753,1230,164,14.4,125.2,47.5,1.58,190.09,140.3,10.4,410
Liso-Ririba,BR-BH4,338417,505453,949,161,7.66,,802,516,114,9.5,39.5,10.2,1.55,66.9,251.1,43.9,25.56
Gelechet,BR-BH5,361304,509658,1137,213,7.25,32.8,1544,1056,160,14,96.8,31.1,1.88,198.6,188.89,1.8,302.5
Wayam Kala,BR-BH6,379120,520197,1197,146,7.5,33.4,1042,712,114,7.7,72.2,22.14,0.05,55.8,218.9,0.3,216.4
Adegelchet,BR-BH7,377047,532085,1245,112,7.8,29.7,720,448,60,4.7,60.9,25.38,0.95,18.24,351.36,1.99,38
Sarite-Giwesa,BR-BH8,346964,545325,992,216,7.89,28,860,490,166,3.4,29.1,4.9,1.96,42.24,459.7,0.44,0.8
Birindar,BR-BH9,350065,566262,882,90,7.34,30.2,5180,3492,1080,14.8,154.7,28.6,1.21,1200,418.09,0.44,801
Bule Bishan Dhaanan,BR-BH10,361667,556788,1038,89,7.78,29,1052,634,124,5.1,61.7,37.8,1.44,11.5,576.82,10.2,39
Olla Bersa-Kella,BR-BH11,404143,539599,1624,67,7.02,24.3,1170,790,69,4.4,123.5,38.9,1.85,148.8,187.39,44.55,256
Elwaya,BR-BH12,378708,548522,1379,78,7.4,26.2,721,415,56,5.3,83.79,24.3,0.07,9.6,468.48,0.3,0.534
Obda2,BR-BH13,395181,541249,1915,65,7,,528,317,77.7,18.3,280,78,0.62,109.2,263,174,4.09
Gof Gedo,BR-BH14,418263,434758,1483,87,7.04,22.1,400,248,16,4.5,34.4,20.52,0.22,8.64,240.1,0.5,6.67
Megado-Alabor,BR-BH15,407108,416060,785,214,7.8,31.9,1855,1239,186,27,88.2,95.04,0.98,83.5,796.42,21.2,155.5
Romso village,BR-BH16,418497,444586,1569,90,7.6,24.8,1125,727,72,19,118.19,38.3,0.87,69.1,409.92,1.78,131.16
Mega Town,BR-BH17,424085,448742,1711,47.2,7.35,22.8,740,446,29,6.2,61.74,48.6,0.28,59.5,337.78,3.8,18.8
Did Mega,BR-BH18,425998,445672,1540,87,7.9,23.4,1418,960,35,7.1,88.2,135.4,0.95,150.7,538.75,0.214,124
Dubluk Town,BR-BH19,420112,482697,1476,35,7.96,23.3,1861,1186,200,35.5,74.97,56.16,1.45,263.04,383.6,5.2,168
Horbate-Ambo,BR-BH20,338052,523061,1069,162,7.5,33.8,996,616,84,14.5,81.9,41.25,0.95,85.56,460.18,0.1,21.09
Gololcha,BR-BH21,402823,467061,1538,75,7.9,22.3,1831,1398,100,7.5,194,91.8,1,111.36,210.82,2.39,654
Biliko,BR-BH22,412154,416043,789,131,8.47,31.6,1578,1003,170,28.5,66.15,90.72,0.4,63.36,620.74,20.5,160
Goray/Melka Sadeka,BR-BH23,338000,454149,739,123,8.03,34.9,733,464,84,9.8,40.6,16.7,0.83,41.28,254.7,12.15,82.77
Harewayu,BR-BH24,398972,516763,1304,45,8.15,24.6,1769,1376,156,8.2,164.1,48.6,2.8,76.8,168.36,2.2,671.8
